tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:12.557502 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.564965 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.644581 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.646564 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.722965 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.727214 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.809517 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.811766 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.893272 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.898549 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.970986 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.979246 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.055181 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
